year,inflation
1961,0.4000
1962,0.4196
1963,2.2052
1964,1.7261
1965,0.1786
1966,2.0058
1967,3.3428
1968,0.6554
1969,-0.2731
1970,0.4634
1971,1.761
1972,2.0808
1973,19.6367
1974,22.3684
1975,2.5365
1976,-1.8419
1977,3.164
1978,4.8725
1979,4.0765
1980,8.5269
1981,8.182
1982,3.9163
1983,1.1964
1984,2.601
1985,0.4801
1986,-1.3857
1987,0.5233
1988,1.5232
1989,2.3455
1990,3.4608
1991,3.4257
1992,2.2631
1993,2.2893
1994,3.1001
1995,1.7205
1996,1.3832
1997,2.0036
1998,-0.2675
1999,0.0167
2000,1.3616
2001,0.9972
2002,-0.3917
2003,0.5079
2004,1.6627
2005,0.4251
2006,0.9629
2007,2.1049
2008,6.6278
2009,0.5967
2010,2.8237
2011,5.2478
2012,4.5756
2013,2.3586
2014,1.0251
2015,-0.5226
2016,-0.5323
2017,0.5763
2018,0.4386
2019,0.5653
2020,-0.1819